,,,"Monday
July 13th","Tuesday
July 14th","Wednesday
July 15th","Thursday
July 16th","Friday
July 17th",,Session,Length (min),Papers,
8:30,to,9:00,Workshops,,,,Workshops,,1,45,9,
9:00,to,9:30,,"Session 4
Multi-Robot Systems","Session 11
Control & Dynamics","Session 18
Perception & Estimation",,,2,45,9,
9:30,to,10:00,,,,,,,3,60,13,
10:00,to,10:30,,"Early Career Spotlight
Hongyang Li (UHK)","Early Career Spotlight
Pulkit Agrawal (MIT)","Early Career Spotlight
Wenzhen Yuan (UIUC)",,,4,60,13,
10:30,to,11:00,,Coffee break,Coffee break,Coffee break,,,5,40,9,
11:00,to,11:30,,"Session 5
Localization & Mapping

Platinum Sponsor Address
AGIBOT

Session 6
Manipulation 2","Session 12
Human-Robot Interaction

Platinum Sponsor Address
Toyota Research Institute

Session 13
Manipulation 3","Session 19
Planning",,,6,40,9,
11:30,to,12:00,,,,,,,7,45,9,
12:00,to,12:30,,,,"Poster Session

Lunch

Sponsor spotlight: Sharpa",,,8,45,9,
12:30,to,13:00,"Lunch (not provided)

Walk to ICC

Registration","Poster Session

Lunch

Sponsor spotlight: AGIBOT","Poster Session

Lunch

Sponsor spotlight: TRI",,"Lunch
(not provided)",,9,40,9,
13:00,to,13:30,,,,,,,10,40,9,
13:30,to,14:00,,,,"Closing Keynote
Karen Liu
Stanford University",,,11,60,13,
14:00,to,14:30,"Welcome to Country
P.C. Opening Remarks","Session 7
Navigation 1

Early Career Spotlight
Marco Tognon (INRIA)

Session 8
Imitation Learning 1","Session 14
Navigation 2

Test of Time Award
Deimel and Brock, RSS 2014

Session 15
Imitation Learning 2",,Workshops,,12,40,9,
14:30,to,15:00,"Session 1
Manipulation 1

Session 2
World Models & Memory",,,"Session 20
Robot & Sensor Design

Session 21
Imitation Learning 3",,,13,40,9,
15:00,to,15:30,,,,,,,14,45,9,
15:30,to,16:00,,,,,,,15,45,9,
16:00,to,16:30,Coffee break,"Poster Session
Coffee
Sponsor spotlight: Spirit AI","Poster Session

Coffee","""Robbyant"" Poster Session
Coffee
Sponsor spotlight: Robbyant",,,16,40,9,
16:30,to,17:00,"Opening Keynote
Salah Sukkarieh
University of Sydney",,,,,,17,40,9,
17:00,to,17:30,,"Session 9
VLA Models

Platinum Sponsor Address
Sharpa

Session 10
Datasets and Benchmarking","Session 16
Reinforcement Learning

Platinum Sponsor Address
Spirit AI

Session 17
Modeling & Optimization",Awards Ceremony,,,18,60,13,
17:30,to,18:00,"Session 3
Humanoids",,,Town Hall Meeting,,,19,60,13,
18:00,to,18:30,,,,Walk to banquet,,,20,45,10,
18:30,to,19:00,"""Unitree"" Poster Session

Sponsor spotlight: Unitree
Dinner (catered)","""Anduril"" Poster Session

Sponsor spotlight: Anduril
Dinner (catered)","""NVIDIA"" Poster Session

""Connect with NVIDIA"" talk
Dinner (catered)",Banquet,,,21,45,9,
19:00,to,19:30,,,,,,,,,210,Total
19:30,to,20:00,Dinner (catered),Dinner (catered),Dinner (catered),,,,,,,
20:00,to,20:30,,,,,,,,,,
20:30,to,21:00,,,,,,,,,,
21:00,to,21:30,,,,,,,,,,
21:30,to,22:00,,,,,,,,,,
22:00,to,22:30,,,,,,,,,,
