Paper Number,Paper Title,Link,Demo Day,Demo Location,Demo Time(s),
23,Demonstrating CropFollow++: Robust Under-Canopy Navigation with Keypoints,https://roboticsconference.org/program/papers/23/,Tuesday,van Hasseltzaal,9:30-10:00; 12:00-13:30; 15:30-16:00; 18:00-18:30,
14,Demonstrating Learning from Humans on Open-Source Dexterous Robot Hands,https://roboticsconference.org/program/papers/14/,Tuesday,van Hasseltzaal,9:30-10:00; 12:00-13:30; 15:30-16:00; 18:00-18:30,
17,Demonstrating Event-Triggered Investigation and Sample Collection for Human Scientists using Field Robots and Large Foundation Models,https://roboticsconference.org/program/papers/17/,Tuesday,van Hasseltzaal,12:00-13:30; 15:30-16:00,
47,Demonstrating Adaptive Mobile Manipulation in Retail Environments,https://roboticsconference.org/program/papers/47/,Tuesday & Wednesday,CoR-Lab,12:00-13:30,
82,Demonstrating Agile Flight from Pixels without State Estimation,https://roboticsconference.org/program/papers/82/,Tuesday & Wednesday,CoR-Lab,12:00-13:30,
29,Demonstrating HumanTHOR: A Simulation Platform and Benchmark for Human-Robot Collaboration in a Shared Workspace,https://roboticsconference.org/program/papers/29/,Wednesday,van Hasseltzaal,9:30-10:00; 12:00-13:30; 15:30-16:00; 17:00-17:30,
21,Demonstrating HOUND: A Low-cost Research Platform for High-speed Off-road Underactuated Nonholonomic Driving,https://roboticsconference.org/program/papers/21/,Wednesday,van Hasseltzaal,9:30-10:00; 12:00-13:30; 15:30-16:00,
91,Demonstrating OK-Robot: What Really Matters in Integrating Open-Knowledge Models for Robotics,https://roboticsconference.org/program/papers/91/,Thursday,van Hasseltzaal,(tentative) 9:30-10:00; 12:30-14:00; 15:00-15:30; 16:30-17:00,
105,Demonstrating Language-Grounded Motion Controller,https://roboticsconference.org/program/papers/105/,Thursday,van Hasseltzaal,12:30-14:00,
74,Demonstrating Arena 3.0: Advancing Social Navigation in Collaborative and Highly Dynamic Environments,https://roboticsconference.org/program/papers/74/,Thursday,van Hasseltzaal,9:30-10:00; 12:30-14:00; 15:00-15:30; 16:30-17:00,
