title,name,filename
Inductive Biases for Learning in Robotics and Control,Michael Lutter,8\CameraReady\Lutter_Poster_RSS_Pioneers.jpg
Towards Ubiquitous Haptics for Embodied AI Agents,Jose Barreiros,10\CameraReady\poster.jpg
Fostering Human-Robot Cohesion in Multi-Party Settings,Filipa Correia; Francisco S. Melo; and Ana Paiva,19\CameraReady\RSS Pioneers 2021 Poster-2.jpg
Distributed and Safe Autonomy in Unknown and Communication-Denied Environments,Yiannis Kantaros,20\CameraReady\rss_pioneers_poster-compressed (1).jpg
Social Robots that Understand Natural Language Instructions and Resolve Ambiguities,Fethiye Irmak Doğan,22\CameraReady\poster.jpg
Multimodal Representation Learning for Robot Perception and Agency,Miguel Vasco; Francisco S. Melo; and Ana Paiva,25\CameraReady\RSS_Poster_MV.jpg
Certifiable Outlier-Robust Machine Perception,Heng Yang,27\CameraReady\certifiable-robust-perception-poster.jpg
Learning Deep Observation Models for Factor Graph Inference,Paloma Sodhi,29\CameraReady\RSS21PioneersPoster_PalomaSodhi.jpg
Towards Terrain-Aware Autonomous Exploration in 3D Confined Spaces,Héctor Azpúrua,30\CameraReady\poster_exploration_RSS_21_nobanner_v2.jpg
Bio-Inspired Robot Perception Coupled with Robot-Modeled Human Perception,Tobias Fischer,31\CameraReady\Tobias_Fischer_RSS_Pioneers_2021_Poster.jpg
Uncertainty Estimation for Lifelong Robot Perception Systems,Ali Harakeh,37\CameraReady\Harakeh_RSS_Pioneers_Poster.jpg
Towards Predictive and Proactive Monitoring and Planning for Safe Autonomous Robotic Operations,Esen Yel,40\CameraReady\EsenYel_RSS_pioneers_poster.jpg
Interactive Reinforcement Learning from Imperfect Teachers,Taylor A. Kessler Faulkner and Andrea Thomaz,42\CameraReady\RSS_Pioneers_Poster_Camera_Ready.jpg
"Honey, I Shrunk the Robot: Designing Miniature Surgical Robots",Yash Chitalia,51\CameraReady\RSS_Pioneers_Poster.jpg
Toward Practical Collaborative Manipulation,Preston Culbertson,54\CameraReady\culbertson_poster21.jpg
Limb Mechanics for Performance,Justin Yim,57\CameraReady\YimPosterPioneers2021Final.jpg
Towards Continuous Learned Semantic Representation through a Viewpoint-Dependent Observation Model,Yuri Feldman and Vadim Indelman,59\CameraReady\poster.jpg
Leveraging Human Input for Robust Robot Learning,Daniel S. Brown,62\CameraReady\RSS21_Pioneers_Poster_Daniel_Brown.jpg
Discovering and Segmenting Unseen Objects for Robot Perception,Christopher Xie,63\CameraReady\RSS_Pioneers_Workshop_2021_Poster.jpg
Tactile Object Pose Estimation from the First Touch,Maria Bauza Villalonga,64\CameraReady\Maria_Bauza_RSS_Pioneers_poster_2021.jpg
Situational Awareness and Long-Term Autonomy for Robot Swarms,Vivek Shankar Varadharajan,67\CameraReady\poster_landscape.jpg
Active Perception for Aerial and Ground Robot Teams Operating in Unknown Enivronments,Micah Corah,68\CameraReady\poster_Micah_Corah.jpg
Structured and Distributed Approaches for Robot Perception and Control,"Alexander ""Sasha"" Lambert",70\CameraReady\poster.jpg
Towards Safe and Resilient Autonomy in Multi-Robot Systems,Wenhao Luo,73\CameraReady\RSS_Pioneer_21_Poster.jpg
Moving Object Segmentation for LiDAR-Based Localization and Mapping,Xieyuanli Chen,74\CameraReady\chen2021rss-pioneer-poster.jpg
"Robotic (Collaborative) Manipulation: Is it ""just"" a Matter of Interfaces?",Maria Pozzi,77\CameraReady\2021 RSS poster okok.jpg
Variable Stiffness Soft Growing Robots as Manipulators,Brian H. Do,79\CameraReady\RSS 2021 Pioneers Workshop Poster.jpg
Model-Based Control and Design of Soft Robots,James M. Bern,84\CameraReady\poster.jpg
Learning State-Dependent Measurement Likelihood Models with Limited Sensor Data,Troi Williams and Yu Sun,88\CameraReady\Troi Williams - 2021 RSS Pioneers Poster.jpg
