Date,Time,SessionName,SessionLink,C1,C1A,C2,C2A
16-Jul,8:30am-9:30am,1. Control,1.%20Control,Stephane Caron,,Luis Figueredo,
16-Jul,10:00am-11:00am,2. Planning,2.%20Planning,Jana Tumova,,Lin Zhao,
16-Jul,11:00am-12:00pm,3. Manipulation,3.%20Manipulation,Tirtha Bandyopadhyay,,Ram Vasudevan,
16-Jul,1:30pm-2:30pm,4. Field robotics,4.%20Field%20robotics,Nare Karapetyan,,Derek Paley,
16-Jul,4:00pm-5:00pm,5. HRI,5.%20HRI,Henny Admoni,,Rachid Alami,
16-Jul,5:00pm-6:00pm,6. Grasping,6.%20Grasping,Juxi Leitner,,Kapil Katyal,
17-Jul,8:30am-9:30am,7. Imitation Learning,7.%20Imitation%20learning,Harold Soh,,Erdem Biyik,
17-Jul,10:00am-11:00am,8. Perception and navigation,8.%20Perception%20and%20navigation,Di Guo,,Jie Tan,
17-Jul,11:00am-12:00pm,9. Locomotion and manipulation,9.%20Locomotion%20and%20manipulation,Julia Borras Sol,,Ruben Grandia,
17-Jul,1:30pm-2:30pm,10. Perception,10.%20Perception,Jeannette Bohg,,Dimity Miller,
17-Jul,4:00pm-5:00pm,11. Navigation,11.%20Navigation,Niko Suenderhauf,,Anoop Aroor,
18-Jul,8:30am-9:30am,12. Robot Learning Foundation Models,12.%20Robot%20learning%20foundation%20models,Nicolas Heess,,Georgia Chalvatzaki,
18-Jul,10:00am-11:00am,13. Robot design,13.%20Robot%20design,Abdullah Mohamed Arafa Mustafa,,Jordan Boyle,
18-Jul,11:30am-12:30pm,14. Control,14.%20Control,Nadia Figueroa,,Justin Carpentier,
18-Jul,3:30pm-4:30pm,15. Planning,15.%20Planning,Abdelslam Boularias,,Nils Wilde,
19-Jul,8:30am-9:30am,16. Manipulation,16.%20Manipulation,Nima Fazeli,,Mario Selvaggio,
19-Jul,10:00am-11:00am,17. Imitation learning,17.%20Imitation%20learning,Rudolf Lioutikov,,Youngwoon Lee,
