,"Friday, June 20, 2025","Saturday, June 21, 2025","Sunday, June 22, 2025","Monday, June 23, 2025","Tuesday, June 24, 2025","Wednesday, June 25, 2025",
9:00 - 9:30,RSS Pioneers,Workshops + RSS Pathways,4. Perception,9. HRI,14. Robot Design,Workshops + Tours,9:00 - 9:30
9:30 - 10:00,,,,,15. Navigation,,9:30 - 10:00
10:00 - 10:30,,,,,,,10:00 - 10:30
10:30 - 11:00,,,Break + Posters Setup,Break + Posters Setup,Break + Posters Setup,,10:30 - 11:00
11:00 - 11:30,,,Early Career Spotlight,Early Career Spotlight,Awards Ceremony,,11:00 - 11:30
11:30 - 12:00,,,5. Planning,10. Multi-Robot Systems,16. Manipulation III,,11:30 - 12:00
12:00 - 12:30,,,,,,,12:00 - 12:30
12:30 - 1:00,,"Welcome 
Reception Lunch + Poster Setup",Lunch + Posters,Lunch + Posters,Lunch + Posters,,12:30 - 1:00
1:00 - 1:30,,,,,,,1:00 - 1:30
1:30 - 2:00,,Opening address,,,,,1:30 - 2:00
2:00 - 2:30,,1. Perception and Navigation,6. Manipulation I,11. Manipulation II,17. Imitation Learning II,,2:00 - 2:30
2:30 - 3:00,,,,,,,2:30 - 3:00
3:00 - 3:30,,Keynote: Barbara Webb,"Past, Present, and Future Panel",Keynote: Trevor Darrell,Test of Time Award,,3:00 - 3:30
3:30 - 4:00,,,,,,,3:30 - 4:00
4:00 - 4:30,,Break,Break,Break,Break + Posters + Tours,,4:00 - 4:30
4:30 - 5:00,,2. VLA Models,7. Humanoids,12. Control and Dynamics,,,4:30 - 5:00
5:00 - 5:30,,,,,,,5:00 - 5:30
5:30 - 6:00,,3. Scaling Robot Learning,8. Imitation Learning I,13. Mobile Manipulation and Locomotion,Town Hall,,5:30 - 6:00
6:00 - 6:30,,,,,,,6:00 - 6:30
6:30 - 7:00,,RoboNight: Dinner + Posters,RoboNight: Dinner + Posters,RoboNight: Dinner + Posters,Farewell Reception,,6:30 - 7:00
7:00 - 7:30,,,,,,,7:00 - 7:30
7:30 - 8:00,,,,,,,7:30 - 8:00
,,,,,,,
,,Spotlight Talks format,4.5min talks + 1.5min Q&A,,,,
,,,,,,,
9:00 - 9:30,RSS Pioneers,Workshops & Industry Panel + RSS Pathways,5,5,5,Workshops + tours,9:00 - 9:30
,,,4 - Perception,9 - HRI,14 - Robot Design,,
9:30 - 10:00,,,9,9,9,,9:30 - 10:00
10:00 - 10:30,,,,,,,10:00 - 10:30
,,,4 - Perception,9 - HRI,15 - Navigation,,
10:30 - 11:00,,,break + posters setup,break + posters setup,break + posters setup,,10:30 - 11:00
11:00 - 11:30,,,Early Career Spotlight,Early Career Spotlight,Awards Ceremony,,11:00 - 11:30
11:30 - 12:00,,,9,9,10,,11:30 - 12:00
12:00 - 12:30,,,,,,,12:00 - 12:30
,,,5 - Planning,10 - Multi-Robot Systems,16 - Manipulation 3,,
12:30 - 1:00,,"Welcome 
Reception Lunch + poster setup",lunch,lunch,lunch,,12:30 - 1:00
1:00 - 1:30,,,lunch + posters,lunch + posters,lunch + posters,,1:00 - 1:30
1:30 - 2:00,,Opening address,,,,,1:30 - 2:00
2:00 - 2:30,,9,9,9,9,,2:00 - 2:30
2:30 - 3:00,,,,,,,2:30 - 3:00
,,1 - Perception and Navigation,6 - Manipulation 1,11 - Manipulation 2,17 - Imitation Learning 2,,
3:00 - 3:30,,Keynote Talk,"Past, Present, and Future Panel",Keynote Talk,Test of Time Award,,3:00 - 3:30
3:30 - 4:00,,,,,,,3:30 - 4:00
4:00 - 4:30,,break,break,break,break + posters + tours,,4:00 - 4:30
4:30 - 5:00,,10,10,10,,,4:30 - 5:00
5:00 - 5:30,,,,,,,5:00 - 5:30
,,2 - VLA,7 - Humanoids,12 - control & dynamics,,,
5:30 - 6:00,,9,9,9,Town Hall,,5:30 - 6:00
6:00 - 6:30,,,,,,,6:00 - 6:30
,,3 - Scaling Robot Learning,8 - Imitation Learning 1,13 - Mobile Manipulation and Locomotion,,,
6:30 - 7:00,,RoboNight: Posters + dinner,RoboNight: Posters + dinner,RoboNight: Posters + dinner,Farewell Reception,,6:30 - 7:00
7:00 - 7:30,,,,,,,7:00 - 7:30
7:30 - 8:00,,,,,,,7:30 - 8:00
,,,,,,,
,,,TOTAL PAPERS:,163,,,
