Date,Time,SessionName,SessionLink,C1,C1A,C2,C2A
,,1. Perception and Navigation,1_perception_and_navigation,,,,
,,2. VLA,2_vla,,,,
,,3. Scaling Robot Learning,3_scaling_robot_learning,,,,
,,4. Perception,4_perception,,,,
,,5. Planning,5_planning,,,,
,,6. Manipulation 1,6_manipulation_1,,,,
,,7. Humanoids,7_humanoids,,,,
,,8. Imitation Learning 1,8_imitation_learning_1,,,,
,,9. HRI,9_hri,,,,
,,10. Multi-Robot Systems,10_multi-robot_systems,,,,
,,11. Manipulation 2,11_manipulation_2,,,,
,,12. Control & Dynamics,12_control_and_dynamics,,,,
,,13. Mobile Manipulation and Locomotion,13_mobile_manipulation_and_locomotion,,,,
,,14. Robot Design,14_robot_design,,,,
,,15. Navigation,15_navigation,,,,
,,16. Manipulation 3,16_manipulation_3,,,,
,,17. Imitation Learning 2,17_imitation_learning_2,,,,
